ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.482,63.016,10.19174981,2.561424686,2085.487571,0.703,0.380054352,0.540514172,0.5945646258503402,18.942870966863943,19.35102011878912,28.0697403,45.36517,23.356497166026145,0.678,-3.4891050341396626,-2.731585925867796,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.597,61.6798,12.1721,5.417390823,6861.575738,0.9,0.566139188,0.629229065,0.409,31.42379985,31.49078727,31.22262955,34.17144,28.87733,0.538,-1.5930899986137257,-2.6154862486739674,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.802,79.0473,14.81612968,10.91069206,12802.14831,0.991,0.797815511,0.805385473,0.72,10.23328918,10.2244389,6.129034996,12.33344,12.23739254,0.17,1.9042248189092177,0.8880117217899943,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.868,82.9803,13.04647577,10.55577309,52650.22576,0.943517441860465,0.7001682667383721,0.7362088890930233,0.5945646258503402,18.942870966863943,19.35102011878912,5.169452667,10.00815435,23.356497166026145,0.3558882352941176,-0.1799127726434965,2.416781716468798,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.897,79.5036,14.3441,12.05539989,67667.50846,0.945,0.858680897,0.908466631,0.5945646258503402,18.942870966863943,19.35102011878912,5.036153316,14.47533507,23.356497166026145,0.112,0.6050663299885694,3.3485764097859536,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.851,76.833,17.6541996,11.01644516,22996.67142,0.993,0.840403555,0.84667155,0.733,13.39805823,13.86603995,8.0070467,6.20843,25.978698,0.328,1.370651285535997,1.7563498458894695,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.768,74.9059,13.03505675,11.18758965,12541.16263,0.99,0.760654637,0.768509865,0.694,9.502875453,9.635416667,8.135306358,2.93495,17.43837,0.261,1.6623135589408955,0.2987269604216997,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.795,78.2683,14.37370453,9.263093809,18775.95101,0.943517441860465,0.7001682667383721,0.7362088890930233,0.5945646258503402,18.942870966863943,19.35102011878912,5.408444405,18.64913996358333,23.356497166026145,0.3558882352941176,0.1679985334993527,0.8673594806513572,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.937,83.0006,21.95433044,12.42234039,47085.22714,0.966,0.918884208,0.951697062,0.861,7.909382245,8.110992529,3.550913572,3.043233164,17.134,0.096,3.5518526513927227,3.138087997062167,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.916,81.6391,16.09206963,12.15911961,53665.02668,0.964,0.89666135,0.930045519,0.846,7.390054951,7.641921397,3.268324852,2.9996,15.90224,0.072,2.057790455628557,3.066019906114477,Europe,9015361
AZE,Azerbaijan,High,ECA,91.0,70.0,0.753,72.2478,13.14496417,10.54459953,13587.53119,0.951,0.730552848,0.768145315,0.687,8.65251949,8.764940239,13.53349686,3.56506161,8.859,0.311,2.146526294003465,-0.3309913750109888,Asia,10154978
BDI,Burundi,Low,SSA,187.0,127.0,0.428,61.5526,10.93010998,2.804970026,772.4022889,0.93,0.412499329,0.443722606,0.3,29.58906823,29.90654206,28.34966469,39.48821,20.92933,0.51,-3.454932082958689,-2.81399502216158,Africa,11948454
BEL,Belgium,Very High,,13.0,10.0,0.931,81.3618,19.77437973,12.23692989,50904.68909,0.973,0.917393455,0.942396697,0.86,7.601067298,7.626208378,3.728221893,7.68431,11.39067,0.057,2.912780554778152,3.2007605826141066,Europe,11598451
BEN,Benin,Low,SSA,166.0,152.0,0.53,59.8558,12.15258217,4.010411011,3010.902854,0.871,0.493003234,0.565720889,0.333,36.9361084,37.16981132,35.14041519,43.69355,31.97436,0.615,-2.242407576037652,-3.603857718937901,Africa,12175480
BFA,Burkina Faso,Low,SSA,184.0,157.0,0.438,59.5361,8.906479836,1.761222512,1967.634052,0.893,0.412072408,0.461283954,0.303,30.20155784,30.82191781,34.14014435,39.15279412,17.31173505,0.6,-4.031588445537713,-3.048772380409207,Africa,20997293
BGD,Bangladesh,Medium,SA,129.0,131.0,0.622,71.7879,11.59809017,6.270249844,4339.489843,0.902,0.58457155,0.64824575,0.471,23.57591332,24.27652733,17.76226997,37.30855,15.65692,0.534,-2.1659998277678514,-0.5500956502407065,Asia,164972348
BGR,Bulgaria,High,,68.0,52.0,0.808,74.7992,14.41442013,11.24269962,20986.65463,0.993,0.804529842,0.810082891,0.708,12.0107489,12.37623762,5.799176693,6.32881,23.90426,0.208,1.3064356245910311,0.9941204505026464,Europe,6939018
BHR,Bahrain,Very High,AS,35.0,46.0,0.869,79.689,16.41513062,9.586489677,45033.83054,0.928,0.824958819,0.888635709,0.5945646258503402,18.942870966863943,19.35102011878912,5.003754139,15.87218065,23.356497166026145,0.228,0.7503024246883766,2.444430279481355,Asia,1711057
