ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.466,61.923,9.57732296,2.209473202,2125.862821,0.649,0.344152186,0.530178097,0.323,29.20871299,30.68669528,32.03575897,44.82338,10.767,0.738,4.259047773347847,1.8846811270959016,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.541,58.6231,10.0825,3.909642238,7280.845666,0.848,0.494561462,0.583449983,0.5621510791366907,20.304142475244607,20.75931192845324,36.53272629,19.47365799370064,28.94534,0.545,3.2742812267237262,-0.6624491108954826,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.778,78.064,14.58664989,10.02511024,11146.26303,0.974,0.76686355,0.787407675,0.696,10.42977938,10.53984576,7.151945591,11.9,12.23739254,0.235,-1.722219012745782,0.6527277829967808,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.869,82.9166,13.52401627,10.58708477,47126.81461,0.9349473684210524,0.6763403232163743,0.7167232768888889,0.5621510791366907,20.304142475244607,20.75931192845324,5.208617687,15.1603022,24.059114932170065,0.3875029940119761,-1.781212277195329,1.6346094303240046,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.846,78.7155,12.945893,10.16996531,57445.95475,0.919,0.794920586,0.865186461,0.5621510791366907,20.304142475244607,20.75931192845324,5.594656467,19.47365799370064,24.059114932170065,0.171,-2.351505290066076,1.7542340029833003,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.843,76.4669,17.10737038,10.78507042,23557.51314,0.998,0.837616242,0.839031918,0.721,14.01159307,14.47212337,9.146879196,6.43056,26.45734,0.36,-2.441532015170945,-0.8892592728586537,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.755,73.454,13.116395,11.28896475,10830.55372,0.977,0.743120437,0.760462972,0.684,9.33643829,9.40397351,10.06995487,3.685,14.25436,0.327,-1.3989043241478387,0.9273683576964908,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.787,77.3502,14.85750008,9.03495,16745.79664,0.9349473684210524,0.6763403232163743,0.7167232768888889,0.5621510791366907,20.304142475244607,20.75931192845324,6.364239216,19.47365799370064,24.059114932170065,0.3875029940119761,-0.8999483897937884,-0.4389345464171174,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.93,82.3456,22.62538878,12.29574013,44878.41764,0.96,0.908605935,0.946121816,0.854,7.931165814,8.172043011,3.618355751,2.475141691,17.7,0.13,-5.083641285373751,-0.927774872695794,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.906,80.841,16.08506012,11.75162983,52887.1943,0.955,0.882451544,0.924276759,0.836,7.513976963,7.726269316,3.552270889,3.48986,15.4998,0.098,-3.875508476679472,0.7296496136176404,Europe,9015361
AZE,Azerbaijan,High,ECA,91.0,70.0,0.734,70.3598,12.31988307,10.47150993,13262.756,0.949,0.710453861,0.748720899,0.659,10.01508146,10.21798365,17.4840889,3.702155473,8.859,0.34,-0.7165780575673221,1.878897400275653,Asia,10154978
BDI,Burundi,Low,SSA,187.0,127.0,0.416,58.4927,10.82979965,2.159226656,860.4779094,0.914,0.396958885,0.434154942,0.296,28.02340705,28.84615385,33.05984116,36.86809,14.14229,0.533,4.294419838965517,1.410621299905728,Africa,11948454
BEL,Belgium,Very High,,13.0,10.0,0.915,80.2607,19.22763062,11.49960995,48583.46685,0.971,0.900245476,0.926656108,0.836,8.486319346,8.633879781,3.986088037,9.1745,12.29837,0.085,-4.284054516644466,0.4598868711295056,Europe,11598451
BEN,Benin,Low,SSA,166.0,152.0,0.509,58.7159,11.99856472,3.285375219,2743.557061,0.841,0.464194183,0.551740076,0.318,37.19981199,37.52455796,37.41522598,44.79226,29.39195,0.623,4.046177588982316,-0.6156587038226471,Africa,12175480
BFA,Burkina Faso,Low,SSA,184.0,157.0,0.395,57.6187,7.472980022,1.078641415,1788.801284,0.867,0.365466774,0.42147135,0.284,27.66300566,28.10126582,37.83332825,20.96640874,24.18928,0.608,5.045141116735453,0.0484328869590221,Africa,20997293
BGD,Bangladesh,Medium,SA,129.0,131.0,0.572,69.554,10.11460268,5.302340031,3462.220186,0.855,0.517616127,0.605259894,0.402,29.36985339,29.72027972,21.28524017,38.55827,28.26605,0.589,2.450169008959558,-0.2755987904798926,Asia,164972348
BGR,Bulgaria,High,,68.0,52.0,0.798,74.3572,14.52600956,10.89634037,19080.57753,0.991,0.793805044,0.800924225,0.717,9.992925421,10.15037594,6.706866264,5.51671,17.7552,0.226,-1.951661694883025,0.2035682846210164,Europe,6939018
